School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;           0;0;           0;0;           0;0;           4;29;          10;71;          14;     463.1;;;12;2019;ALL;EL
Attleboro - Hill-Roberts Elementary School;00160045;ELA;           2;20;           0;0;           2;20;           7;70;           1;10;          10;     489.6;;           3;75;2019;ALL;EL
Attleboro - Hill-Roberts Elementary School;00160045;MATH;           1;10;           0;0;           1;10;           7;70;           2;20;          10;     482.3;;           3;53;2019;ALL;EL
Attleboro - Hyman Fine Elementary School;00160040;ELA;          10;45;           0;0;          10;45;           9;41;           3;14;          22;     495.2;;           7;88;2019;ALL;EL
Attleboro - Hyman Fine Elementary School;00160040;MATH;           6;27;           0;0;           6;27;          11;50;           5;23;          22;     485.2;;           7;63;2019;ALL;EL
Attleboro - Peter Thacher Elementary School;00160050;ELA;           6;30;           0;0;           6;30;          11;55;           3;15;          20;     489.8;;           5;76;2019;ALL;EL
Attleboro - Peter Thacher Elementary School;00160050;MATH;           4;20;           0;0;           4;20;           9;45;           7;35;          20;     480.0;;           5;46;2019;ALL;EL
Attleboro - Thomas Willett Elementary School;00160035;ELA;           5;38;           0;0;           5;38;           7;54;           1;8;          13;     491.9;;           5;82;2019;ALL;EL
Attleboro - Thomas Willett Elementary School;00160035;MATH;           3;23;           0;0;           3;23;           5;38;           5;38;          13;     481.1;;           5;50;2019;ALL;EL
Attleboro - Wamsutta Middle School;00160320;ELA;           0;0;           0;0;           0;0;           9;53;           8;47;          17;     468.1;;          16;14;2019;ALL;EL
Attleboro - Wamsutta Middle School;00160320;MATH;           2;12;           0;0;           2;12;           9;53;           6;35;          17;     475.2;;          16;29;2019;ALL;EL
Auburn - Auburn Middle;00170305;ELA;           2;11;           0;0;           2;11;           8;44;           8;44;          18;     475.8;;          13;29;2019;ALL;EL
Auburn - Auburn Middle;00170305;MATH;           2;11;           0;0;           2;11;          10;56;           6;33;          18;     478.9;;          14;42;2019;ALL;EL
Auburn - Swanson Road Intermediate School;00170030;ELA;           7;22;           0;0;           7;22;          22;69;           3;9;          32;     490.6;;          13;78;2019;ALL;EL
Auburn - Swanson Road Intermediate School;00170030;MATH;          11;34;           0;0;          11;34;          17;53;           4;13;          32;     491.1;;          13;77;2019;ALL;EL
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;           0;0;           0;0;           0;0;           9;90;           1;10;          10;     481.8;;           9;50;2019;ALL;EL
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;MATH;           2;20;           1;10;           1;10;           8;80;           0;0;          10;     491.9;;           9;79;2019;ALL;EL
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;           6;38;           2;13;           4;25;          10;63;           0;0;          16;     498.4;;           7;93;2019;ALL;EL
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;           4;25;           1;6;           3;19;          10;63;           2;13;          16;     487.8;;           7;70;2019;ALL;EL
Barnstable - Barnstable High;00200505;ELA;           0;0;           0;0;           0;0;           3;21;          11;79;          14;     458.6;;           9;2;2019;ALL;EL
Barnstable - Barnstable High;00200505;MATH;           0;0;           0;0;           0;0;           8;57;           6;43;          14;     469.1;;           9;11;2019;ALL;EL
Barnstable - Barnstable High;00200505;SCI;           0;0;           0;0;           0;0;           5;36;           9;64;          14;     467.0;;;32;2019;ALL;EL
Barnstable - Barnstable Intermediate School;00200315;ELA;           4;7;           0;0;           4;7;          18;32;          34;61;          56;     468.4;          50.9;          43;15;2019;ALL;EL
Barnstable - Barnstable Intermediate School;00200315;MATH;           2;4;           0;0;           2;4;          28;50;          26;46;          56;     471.6;          43.8;          43;17;2019;ALL;EL
Barnstable - Barnstable United Elementary School;00200050;ELA;           3;4;           0;0;           3;4;          49;68;          20;28;          72;     478.1;          42.6;          58;35;2019;ALL;EL
Barnstable - Barnstable United Elementary School;00200050;MATH;           7;10;           0;0;           7;10;          46;63;          20;27;          73;     477.5;          31.2;          59;36;2019;ALL;EL
Barnstable - Barnstable United Elementary School;00200050;SCI;           0;0;           0;0;           0;0;          18;47;          20;53;          38;     469.0;;;43;2019;ALL;EL
Barnstable - Hyannis West Elementary;00200025;ELA;          10;34;           0;0;          10;34;          14;48;           5;17;          29;     490.9;;;79;2019;ALL;EL
Barnstable - Hyannis West Elementary;00200025;MATH;          11;38;           1;3;          10;34;          13;45;           5;17;          29;     490.6;;;76;2019;ALL;EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;ELA;           0;0;           0;0;           0;0;          13;43;          17;57;          30;     468.5;          44.6;          29;15;2019;ALL;EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;MATH;           1;3;           0;0;           1;3;          18;60;          11;37;          30;     474.3;          54.7;          29;26;2019;ALL;EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;SCI;           0;0;           0;0;           0;0;           5;42;           7;58;          12;     469.2;;;44;2019;ALL;EL
Bedford - John Glenn Middle;00230305;ELA;           8;35;           0;0;           8;35;           8;35;           7;30;          23;     484.7;;          19;61;2019;ALL;EL
Bedford - John Glenn Middle;00230305;MATH;           4;17;           2;9;           2;9;          16;70;           3;13;          23;     491.5;;          19;78;2019;ALL;EL
Bedford - Lt Job Lane School;00230012;ELA;          25;60;           3;7;          22;52;          15;36;           2;5;          42;     502.9;          57.7;          22;97;2019;ALL;EL
Bedford - Lt Job Lane School;00230012;MATH;          29;67;           3;7;          26;60;           8;19;           6;14;          43;     505.1;          68.6;          22;95;2019;ALL;EL
Belmont - Daniel Butler;00260015;ELA;           9;60;           0;0;           9;60;           5;33;           1;7;          15;     505.9;;           7;98;2019;ALL;EL
Belmont - Daniel Butler;00260015;MATH;           8;53;           1;7;           7;47;           6;40;           1;7;          15;     500.1;;           7;91;2019;ALL;EL
Belmont - Roger E Wellington;00260035;ELA;           5;45;           0;0;           5;45;           6;55;           0;0;          11;     498.7;;           1;93;2019;ALL;EL
Belmont - Roger E Wellington;00260035;MATH;           6;55;           3;27;           3;27;           4;36;           1;9;          11;     508.2;;           1;97;2019;ALL;EL
Belmont - Winn Brook;00260005;ELA;           5;42;           0;0;           5;42;           7;58;           0;0;          12;     497.3;;           3;92;2019;ALL;EL
Belmont - Winn Brook;00260005;MATH;           6;50;           0;0;           6;50;           6;50;           0;0;          12;     503.3;;           3;94;2019;ALL;EL
Belmont - Winthrop L Chenery Middle;00260305;ELA;          13;34;           0;0;          13;34;          21;55;           4;11;          38;     492.6;          68.9;          23;84;2019;ALL;EL
Belmont - Winthrop L Chenery Middle;00260305;MATH;          21;57;           6;16;          15;41;          14;38;           2;5;          37;     506.2;          65.6;          22;96;2019;ALL;EL
Belmont - Winthrop L Chenery Middle;00260305;SCI;           8;42;           0;0;           8;42;           9;47;           2;11;          19;     494.0;;;97;2019;ALL;EL
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;ELA;           2;20;           0;0;           2;20;           7;70;           1;10;          10;     486.2;;           5;66;2019;ALL;EL
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School;04200205;MATH;           2;20;           1;10;           1;10;           7;70;           1;10;          10;     488.8;;           5;72;2019;ALL;EL
Bentley Academy Charter School (District) - Bentley Academy Charter School;35110205;ELA;           4;13;           0;0;           4;13;          23;72;           5;16;          32;     484.5;;          16;61;2019;ALL;EL
Bentley Academy Charter School (District) - Bentley Academy Charter School;35110205;MATH;           3;9;           0;0;           3;9;          19;59;          10;31;          32;     477.8;;          16;38;2019;ALL;EL
Beverly - Ayers/Ryal Side School;00300055;ELA;           5;25;           0;0;           5;25;          14;70;           1;5;          20;     492.4;;          10;83;2019;ALL;EL
Beverly - Ayers/Ryal Side School;00300055;MATH;           4;20;           0;0;           4;20;          13;65;           3;15;          20;     488.0;;          10;70;2019;ALL;EL
Beverly - Beverly Middle School;00300305;ELA;           2;8;           0;0;           2;8;          13;52;          10;40;          25;     473.2;;          18;23;2019;ALL;EL
Beverly - Beverly Middle School;00300305;MATH;           2;8;           0;0;           2;8;          13;52;          10;40;          25;     476.6;          30.5;          22;32;2019;ALL;EL
Beverly - Beverly Middle School;00300305;SCI;           1;7;           0;0;           1;7;           5;33;           9;60;          15;     465.9;;;27;2019;ALL;EL
Billerica - Hajjar Elementary;00310026;ELA;           1;8;           0;0;           1;8;           8;67;           3;25;          12;     479.9;;           5;42;2019;ALL;EL
Billerica - Hajjar Elementary;00310026;MATH;           3;25;           1;8;           2;17;           7;58;           2;17;          12;     490.7;;           5;76;2019;ALL;EL
Blackstone-Millville - A F Maloney;06220015;ELA;           2;15;           0;0;           2;15;          10;77;           1;8;          13;     485.3;;           6;63;2019;ALL;EL
Blackstone-Millville - A F Maloney;06220015;MATH;           1;8;           0;0;           1;8;           8;62;           4;31;          13;     478.3;;           6;40;2019;ALL;EL
Boston - Adams Elementary School;00350302;ELA;           9;15;           1;2;           8;13;          42;70;           9;15;          60;     488.6;          48.8;          35;72;2019;ALL;EL
Boston - Adams Elementary School;00350302;MATH;          15;25;           0;0;          15;25;          29;48;          16;27;          60;     485.6;          48.3;          35;65;2019;ALL;EL
Boston - Adams Elementary School;00350302;SCI;           0;0;           0;0;           0;0;           6;55;           5;45;          11;     467.2;;;34;2019;ALL;EL
Boston - Alighieri Dante Montessori School;00350066;ELA;           3;25;           0;0;           3;25;           9;75;           0;0;          12;     490.5;;           7;77;2019;ALL;EL
Boston - Alighieri Dante Montessori School;00350066;MATH;           0;0;           0;0;           0;0;          12;100;           0;0;          12;     483.9;;           7;59;2019;ALL;EL
Boston - Bates Elementary School;00350278;ELA;           2;6;           0;0;           2;6;          23;68;           9;26;          34;     481.9;          44.0;          21;50;2019;ALL;EL
Boston - Bates Elementary School;00350278;MATH;           7;21;           0;0;           7;21;          21;62;           6;18;          34;     487.7;          56.6;          21;69;2019;ALL;EL
Boston - Blackstone Elementary School;00350390;ELA;           1;1;           0;0;           1;1;          39;51;          36;47;          76;     472.6;          34.1;          39;22;2019;ALL;EL
Boston - Blackstone Elementary School;00350390;MATH;           5;6;           0;0;           5;6;          40;51;          33;42;          78;     474.5;          49.1;          40;26;2019;ALL;EL
Boston - Blackstone Elementary School;00350390;SCI;           1;4;           0;0;           1;4;          11;41;          15;56;          27;     464.7;;;21;2019;ALL;EL
Boston - Boston Teachers Union K-8 Pilot;00350012;ELA;           3;11;           0;0;           3;11;          18;64;           7;25;          28;     482.8;          52.6;          22;55;2019;ALL;EL
Boston - Boston Teachers Union K-8 Pilot;00350012;MATH;           4;14;           0;0;           4;14;          16;57;           8;29;          28;     486.3;          59.3;          22;66;2019;ALL;EL
Boston - Boston Teachers Union K-8 Pilot;00350012;SCI;           0;0;           0;0;           0;0;           7;58;           5;42;          12;     479.1;;;;2019;ALL;EL
Boston - Bradley Elementary School;00350215;ELA;           4;24;           0;0;           4;24;          12;71;           1;6;          17;     491.0;;           7;80;2019;ALL;EL
Boston - Bradley Elementary School;00350215;MATH;           1;6;           0;0;           1;6;          12;71;           4;24;          17;     482.7;;           7;55;2019;ALL;EL
Boston - Channing Elementary School;00350360;ELA;           3;27;           1;9;           2;18;           6;55;           2;18;          11;     487.8;;           9;70;2019;ALL;EL
Boston - Channing Elementary School;00350360;MATH;           2;18;           0;0;           2;18;           8;73;           1;9;          11;     482.0;;           9;53;2019;ALL;EL
Boston - Chittick Elementary School;00350154;ELA;          10;48;           0;0;          10;48;           7;33;           4;19;          21;     494.0;;           8;88;2019;ALL;EL
Boston - Chittick Elementary School;00350154;MATH;           7;33;           0;0;           7;33;           8;38;           6;29;          21;     486.2;;           8;65;2019;ALL;EL
Boston - Clap Elementary School;00350298;ELA;           5;26;           2;11;           3;16;           9;47;           5;26;          19;     487.4;;          12;70;2019;ALL;EL
Boston - Clap Elementary School;00350298;MATH;           4;21;           0;0;           4;21;          11;58;           4;21;          19;     486.5;;          12;66;2019;ALL;EL
Boston - Condon K-8 School;00350146;ELA;          10;6;           0;0;          10;6;          80;51;          68;43;         158;     475.0;          51.2;         110;27;2019;ALL;EL
Boston - Condon K-8 School;00350146;MATH;          17;11;           0;0;          17;11;          76;48;          65;41;         158;     475.5;          47.4;         110;30;2019;ALL;EL
Boston - Condon K-8 School;00350146;SCI;           2;4;           0;0;           2;4;          29;55;          22;42;          53;     471.7;;;55;2019;ALL;EL
Boston - Conley Elementary School;00350122;ELA;           3;13;           0;0;           3;13;          15;63;           6;25;          24;     484.3;;          12;60;2019;ALL;EL
Boston - Conley Elementary School;00350122;MATH;           4;17;           0;0;           4;17;           9;38;          11;46;          24;     480.7;;          11;48;2019;ALL;EL
Boston - Curley K-8 School;00350020;ELA;          12;7;           1;1;          11;6;          91;52;          71;41;         174;     476.2;          50.5;         123;30;2019;ALL;EL
Boston - Curley K-8 School;00350020;MATH;          17;10;           0;0;          17;10;          88;51;          69;40;         174;     476.8;          51.3;         119;33;2019;ALL;EL
Boston - Curley K-8 School;00350020;SCI;           1;2;           0;0;           1;2;          28;50;          27;48;          56;     470.4;;;50;2019;ALL;EL
Boston - Dearborn 6-12 STEM Academy;00350074;ELA;           5;11;           0;0;           5;11;          11;23;          31;66;          47;     465.1;          49.0;          39;9;2019;ALL;EL
Boston - Dearborn 6-12 STEM Academy;00350074;MATH;           3;6;           0;0;           3;6;          25;50;          22;44;          50;     471.7;          40.0;          40;18;2019;ALL;EL
Boston - Dearborn 6-12 STEM Academy;00350074;SCI;           0;0;           0;0;           0;0;           4;21;          15;79;          19;     457.3;;;2;2019;ALL;EL
Boston - Dever Elementary School;00350268;ELA;          13;19;           0;0;          13;19;          43;61;          14;20;          70;     487.2;          45.1;          31;69;2019;ALL;EL
Boston - Dever Elementary School;00350268;MATH;          25;36;           2;3;          23;33;          32;46;          13;19;          70;     490.1;          35.8;          35;75;2019;ALL;EL
Boston - Dever Elementary School;00350268;SCI;           2;13;           0;0;           2;13;           8;50;           6;38;          16;     474.4;;;68;2019;ALL;EL
Boston - Edison K-8 School;00350375;ELA;           8;6;           0;0;           8;6;          55;43;          66;51;         129;     470.5;          46.0;          89;18;2019;ALL;EL
Boston - Edison K-8 School;00350375;MATH;          14;11;           0;0;          14;11;          56;43;          59;46;         129;     472.8;          44.1;          90;21;2019;ALL;EL
Boston - Edison K-8 School;00350375;SCI;           0;0;           0;0;           0;0;          11;38;          18;62;          29;     463.8;;;16;2019;ALL;EL
Boston - Edwards Middle School;00350430;ELA;           3;3;           0;0;           3;3;          32;31;          69;66;         104;     461.8;          35.6;          80;5;2019;ALL;EL
Boston - Edwards Middle School;00350430;MATH;           8;8;           0;0;           8;8;          42;40;          55;52;         105;     469.9;          39.3;          84;12;2019;ALL;EL
Boston - Edwards Middle School;00350430;SCI;           0;0;           0;0;           0;0;          14;35;          26;65;          40;     466.1;;;28;2019;ALL;EL
Boston - Eliot K-8 Innovation School;00350096;ELA;           8;27;           2;7;           6;20;          13;43;           9;30;          30;     485.9;          39.0;          24;65;2019;ALL;EL
Boston - Eliot K-8 Innovation School;00350096;MATH;          14;47;           4;13;          10;33;          11;37;           5;17;          30;     497.0;          48.9;          24;88;2019;ALL;EL
Boston - Ellis Elementary School;00350072;ELA;           5;11;           0;0;           5;11;          22;47;          20;43;          47;     475.4;          29.4;          22;27;2019;ALL;EL
Boston - Ellis Elementary School;00350072;MATH;           6;13;           0;0;           6;13;          20;43;          20;43;          46;     474.0;          42.2;          21;25;2019;ALL;EL
