School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Berlin-Boylston - Tahanto Regional High,6200505,MATH,149,54,13,5,136,49,118,43,9,3,276,,502.3,52,262,63,2018
Beverly - Ayers/Ryal Side School,300055,ELA,149,60,30,12,119,48,87,35,13,5,249,,504.2,42.3,158,60,2018
Beverly - Ayers/Ryal Side School,300055,MATH,150,60,16,6,134,54,87,35,12,5,249,,502.9,47.5,160,65,2018
Beverly - Beverly Middle School,300305,ELA,470,49,67,7,403,42,396,41,100,10,966,,499,45.6,941,39,2018
Beverly - Beverly Middle School,300305,MATH,462,48,51,5,411,43,418,43,83,9,963,,499,52.2,938,49,2018
Beverly - Centerville Elementary,300010,ELA,118,63,21,11,97,52,55,29,15,8,188,,504.5,55.1,126,62,2018
Beverly - Centerville Elementary,300010,MATH,98,52,15,8,83,44,69,37,21,11,188,,499.6,65.7,125,52,2018
Beverly - Cove Elementary,300015,ELA,142,67,20,9,122,57,55,26,16,8,213,,508.2,55.5,126,75,2018
Beverly - Cove Elementary,300015,MATH,120,56,13,6,107,50,77,36,17,8,214,,503.8,51.1,127,68,2018
Beverly - Hannah Elementary,300033,ELA,136,63,18,8,118,54,67,31,14,6,217,,504.4,55.1,135,61,2018
