School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;MATH;           7;12;           0;0;           7;12;          40;70;          10;18;          57;100;     484.0;          43.1;          54;50;2022;ALL;hispanic/latino
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;SCI;           7;30;           0;0;           7;30;          14;61;           2;9;          23;96;     490.8;;;75;2022;ALL;hispanic/latino
Ayer Shirley School District - Lura A. White Elementary School;06160001;ELA;           2;18;           0;0;           2;18;           9;82;           0;0;          11;100;     489.5;;          10;62;2022;ALL;hispanic/latino
Ayer Shirley School District - Lura A. White Elementary School;06160001;MATH;           2;18;           0;0;           2;18;           7;64;           2;18;          11;100;     485.7;;          10;56;2022;ALL;hispanic/latino
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;           8;30;           1;4;           7;26;          14;52;           5;19;          27;100;     491.2;;          18;69;2022;ALL;hispanic/latino
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;           9;33;           0;0;           9;33;          13;48;           5;19;          27;100;     487.7;;          18;63;2022;ALL;hispanic/latino
Barnstable - Barnstable Community Innovation School;00200012;ELA;           5;22;           0;0;           5;22;          13;57;           5;22;          23;100;     486.1;;;49;2022;ALL;hispanic/latino
Barnstable - Barnstable Community Innovation School;00200012;MATH;           4;17;           0;0;           4;17;          14;61;           5;22;          23;100;     480.9;;;36;2022;ALL;hispanic/latino
Barnstable - Barnstable High;00200505;ELA;          12;17;           1;1;          11;15;          34;47;          26;36;          72;92;     477.9;          47.5;          62;15;2022;ALL;hispanic/latino
Barnstable - Barnstable High;00200505;MATH;           5;7;           0;0;           5;7;          43;60;          24;33;          72;92;     477.2;          45.0;          61;21;2022;ALL;hispanic/latino
Barnstable - Barnstable High;00200505;SCI;          11;15;           0;0;          11;15;          39;54;          22;31;          72;90;     480.0;;;37;2022;ALL;hispanic/latino
