School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Ashburnham-Westminster - Westminster Elementary;06100005;SCI;           4;27;           0;0;           4;27;          10;67;           1;7;          15;100;     489.1;;;2021;ALL;students with disabilities
Ashland - Ashland Middle;00140405;ELA;          19;15;           2;2;          17;13;          60;47;          49;38;         128;96;     476.7;          31.8;         117;2021;ALL;students with disabilities
Ashland - Ashland Middle;00140405;MATH;          17;13;           1;1;          16;13;          57;45;          53;42;         127;95;     475.8;          35.4;         116;2021;ALL;students with disabilities
Ashland - Ashland Middle;00140405;SCI;           9;28;           2;6;           7;22;          13;41;          10;31;          32;89;     486.6;;;2021;ALL;students with disabilities
Ashland - David Mindess;00140015;ELA;          38;30;           5;4;          33;26;          54;43;          35;28;         127;98;     487.5;          38.0;          37;2021;ALL;students with disabilities
Ashland - David Mindess;00140015;MATH;          24;19;           2;2;          22;17;          59;46;          44;35;         127;98;     481.2;          39.4;          37;2021;ALL;students with disabilities
Ashland - David Mindess;00140015;SCI;           8;21;           2;5;           6;16;          13;34;          17;45;          38;98;     479.9;;;2021;ALL;students with disabilities
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          10;24;           1;2;           9;21;          21;50;          11;26;          42;91;     485.4;;;2021;ALL;students with disabilities
Athol-Royalston - Athol Community Elementary School;06150020;MATH;           7;17;           0;0;           7;17;          17;40;          18;43;          42;91;     472.5;;;2021;ALL;students with disabilities
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;           3;4;           0;0;           3;4;          27;32;          55;65;          85;97;     465.5;          26.0;          78;2021;ALL;students with disabilities
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;           2;2;           0;0;           2;2;          29;35;          53;63;          84;96;     465.1;          35.6;          77;2021;ALL;students with disabilities
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;           2;5;           0;0;           2;5;          21;53;          17;43;          40;94;     474.9;;;2021;ALL;students with disabilities
Athol-Royalston - Royalston Community School;06150050;ELA;           0;0;           0;0;           0;0;          12;80;           3;20;          15;100;     482.3;;           9;2021;ALL;students with disabilities
Athol-Royalston - Royalston Community School;06150050;MATH;           0;0;           0;0;           0;0;          10;67;           5;33;          15;100;     474.9;;           9;2021;ALL;students with disabilities
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;           4;5;           0;0;           4;5;          47;54;          36;41;          87;100;     469.7;          27.0;          62;2021;ALL;students with disabilities
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;           0;0;           0;0;           0;0;          28;32;          59;68;          87;100;     463.0;          22.6;          62;2021;ALL;students with disabilities
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;           0;0;           0;0;           0;0;          17;65;           9;35;          26;100;     472.8;;;2021;ALL;students with disabilities
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;           6;19;           0;0;           6;19;          22;69;           4;13;          32;100;     484.6;;;2021;ALL;students with disabilities
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;           1;3;           0;0;           1;3;          14;44;          17;53;          32;100;     469.7;;;2021;ALL;students with disabilities
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;           4;4;           0;0;           4;4;          30;32;          60;64;          94;95;     470.3;          27.3;          70;2021;ALL;students with disabilities
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;           5;5;           0;0;           5;5;          24;26;          65;69;          94;95;     467.8;          22.3;          70;2021;ALL;students with disabilities
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;           4;8;           0;0;           4;8;          12;25;          32;67;          48;96;     470.7;;;2021;ALL;students with disabilities
Attleboro - Hill-Roberts Elementary School;00160045;ELA;           4;17;           0;0;           4;17;          15;63;           5;21;          24;100;     483.0;;;2021;ALL;students with disabilities
Attleboro - Hill-Roberts Elementary School;00160045;MATH;           2;8;           0;0;           2;8;           9;38;          13;54;          24;100;     469.0;;;2021;ALL;students with disabilities
Attleboro - Hyman Fine Elementary School;00160040;ELA;           5;16;           1;3;           4;13;          16;52;          10;32;          31;100;     480.0;;;2021;ALL;students with disabilities
Attleboro - Hyman Fine Elementary School;00160040;MATH;           5;16;           0;0;           5;16;          10;32;          16;52;          31;100;     471.6;;;2021;ALL;students with disabilities
Attleboro - Peter Thacher Elementary School;00160050;ELA;           3;10;           1;3;           2;6;          14;45;          14;45;          31;97;     489.2;;;2021;ALL;students with disabilities
