School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;           8;18;           2;5;           6;14;          16;36;          20;45;          44;94;     480.3;;;59;2022;ALL;students with disabilities
Athol-Royalston - Royalston Community School;06150050;ELA;           2;13;           0;0;           2;13;           8;50;           6;38;          16;100;     477.3;;           9;52;2022;ALL;students with disabilities
Athol-Royalston - Royalston Community School;06150050;MATH;           3;19;           0;0;           3;19;           8;50;           5;31;          16;100;     476.6;;           9;52;2022;ALL;students with disabilities
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;           2;2;           0;0;           2;2;          29;35;          51;62;          82;100;     465.0;          35.5;          66;10;2022;ALL;students with disabilities
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;           1;1;           0;0;           1;1;          33;40;          48;59;          82;100;     466.1;          39.9;          66;16;2022;ALL;students with disabilities
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;           1;3;           0;0;           1;3;           9;31;          19;66;          29;100;     466.8;;;17;2022;ALL;students with disabilities
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;           3;9;           0;0;           3;9;          20;63;           9;28;          32;100;     481.8;;          19;69;2022;ALL;students with disabilities
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;           4;13;           0;0;           4;13;          16;52;          11;35;          31;97;     478.3;;          19;58;2022;ALL;students with disabilities
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;           1;1;           0;0;           1;1;          35;34;          67;65;         103;98;     467.2;          35.9;          75;16;2022;ALL;students with disabilities
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;           1;1;           0;0;           1;1;          40;39;          62;60;         103;98;     469.9;          39.3;          75;28;2022;ALL;students with disabilities
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;           1;2;           0;0;           1;2;          19;35;          35;64;          55;98;     467.2;;;20;2022;ALL;students with disabilities
Attleboro - Hill-Roberts Elementary School;00160045;ELA;           3;13;           0;0;           3;13;           8;33;          13;54;          24;100;     473.6;;          15;36;2022;ALL;students with disabilities
