School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Attleboro - Wamsutta Middle School;00160320;MATH;          17;35;           4;8;          13;27;          25;51;           7;14;          49;100;     491.9;          47.4;          47;36;2022;ALL;multi-race
Attleboro - Wamsutta Middle School;00160320;SCI;           4;19;           1;5;           3;14;          12;57;           5;24;          21;100;     487.5;;;23;2022;ALL;multi-race
Auburn - Auburn Middle;00170305;ELA;           8;47;           1;6;           7;41;           9;53;           0;0;          17;100;     500.5;;          17;57;2022;ALL;multi-race
Auburn - Auburn Middle;00170305;MATH;           9;53;           0;0;           9;53;           8;47;           0;0;          17;100;     500.2;;          17;59;2022;ALL;multi-race
Auburn - Swanson Road Intermediate School;00170030;ELA;           9;47;           3;16;           6;32;           8;42;           2;11;          19;100;     502.0;;          13;60;2022;ALL;multi-race
Auburn - Swanson Road Intermediate School;00170030;MATH;          11;58;           0;0;          11;58;           6;32;           2;11;          19;100;     502.2;;          13;63;2022;ALL;multi-race
Avon - Ralph D Butler;00180010;ELA;           7;35;           1;5;           6;30;          11;55;           2;10;          20;100;     493.8;;          14;36;2022;ALL;multi-race
Avon - Ralph D Butler;00180010;MATH;           6;30;           1;5;           5;25;          12;60;           2;10;          20;100;     490.8;;          14;34;2022;ALL;multi-race
Ayer Shirley School District - Lura A. White Elementary School;06160001;ELA;           1;10;           0;0;           1;10;           7;70;           2;20;          10;100;     486.6;;           9;16;2022;ALL;multi-race
Ayer Shirley School District - Lura A. White Elementary School;06160001;MATH;           4;40;           0;0;           4;40;           4;40;           2;20;          10;100;     493.7;;           9;41;2022;ALL;multi-race
Ayer Shirley School District - Page Hilltop Elementary School;06160002;ELA;          10;59;           0;0;          10;59;           5;29;           2;12;          17;100;     498.8;;           9;51;2022;ALL;multi-race
Ayer Shirley School District - Page Hilltop Elementary School;06160002;MATH;           8;47;           1;6;           7;41;           5;29;           4;24;          17;100;     493.9;;           9;42;2022;ALL;multi-race
Barnstable - Barnstable High;00200505;ELA;           5;31;           0;0;           5;31;           9;56;           2;13;          16;95;     487.9;;          12;18;2022;ALL;multi-race
