School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;          53;34;           3;2;          50;32;          56;36;          45;29;         154;96;     489.2;;;2021;ALL;male
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          40;45;           4;4;          36;40;          40;45;           9;10;          89;100;     496.0;;;2021;ALL;male
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          32;36;           1;1;          31;35;          45;51;          12;13;          89;100;     490.6;;;2021;ALL;male
Attleboro - Hyman Fine Elementary School;00160040;ELA;          42;48;           7;8;          35;40;          35;40;          11;13;          88;99;     497.5;;;2021;ALL;male
Attleboro - Hyman Fine Elementary School;00160040;MATH;          31;35;           1;1;          30;34;          36;41;          21;24;          88;99;     488.1;;;2021;ALL;male
Attleboro - Peter Thacher Elementary School;00160050;ELA;          23;29;           3;4;          20;26;          36;46;          19;24;          78;99;     493.5;;;2021;ALL;male
Attleboro - Peter Thacher Elementary School;00160050;MATH;          21;27;           3;4;          18;23;          28;36;          29;37;          78;99;     485.8;;;2021;ALL;male
Attleboro - Robert J. Coelho Middle School;00160305;ELA;         123;37;           6;2;         117;35;         151;45;          61;18;         335;99;     490.3;          33.3;         322;2021;ALL;male
Attleboro - Robert J. Coelho Middle School;00160305;MATH;         129;39;           7;2;         122;36;         158;47;          48;14;         335;99;     493.0;          32.7;         321;2021;ALL;male
Attleboro - Robert J. Coelho Middle School;00160305;SCI;          81;48;          14;8;          67;40;          74;44;          13;8;         168;99;     500.4;;;2021;ALL;male
Attleboro - Thomas Willett Elementary School;00160035;ELA;          27;44;           2;3;          25;40;          28;45;           7;11;          62;98;     493.5;;;2021;ALL;male
Attleboro - Thomas Willett Elementary School;00160035;MATH;          17;27;           1;2;          16;26;          33;53;          12;19;          62;98;     486.4;;;2021;ALL;male
Attleboro - Wamsutta Middle School;00160320;ELA;         113;41;          13;5;         100;36;         116;42;          46;17;         275;99;     493.0;          30.7;         262;2021;ALL;male
Attleboro - Wamsutta Middle School;00160320;MATH;         107;39;          13;5;          94;34;         132;48;          36;13;         275;99;     493.2;          31.6;         262;2021;ALL;male
Attleboro - Wamsutta Middle School;00160320;SCI;          56;44;           9;7;          47;37;          53;42;          18;14;         127;99;     496.2;;;2021;ALL;male
Auburn - Auburn Middle;00170305;ELA;         114;40;          14;5;         100;35;         123;43;          50;17;         287;96;     493.6;          28.8;         272;2021;ALL;male
Auburn - Auburn Middle;00170305;MATH;         121;42;          13;5;         108;38;         130;45;          37;13;         288;96;     495.6;          30.1;         273;2021;ALL;male
Auburn - Auburn Middle;00170305;SCI;          40;44;          13;14;          27;30;          39;43;          11;12;          90;94;     500.7;;;2021;ALL;male
Auburn - Swanson Road Intermediate School;00170030;ELA;         143;52;          22;8;         121;44;         102;37;          31;11;         276;96;     500.3;          33.8;          97;2021;ALL;male
Auburn - Swanson Road Intermediate School;00170030;MATH;         116;42;          19;7;          97;35;         117;43;          42;15;         275;96;     494.9;          33.8;          96;2021;ALL;male
Auburn - Swanson Road Intermediate School;00170030;SCI;          55;56;          15;15;          40;41;          33;34;          10;10;          98;96;     504.2;;;2021;ALL;male
Avon - Avon Middle High School;00180510;ELA;          27;46;           5;8;          22;37;          27;46;           5;8;          59;98;     498.5;          39.3;          54;2021;ALL;male
