School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;         156;27;           4;1;         152;27;         348;61;          66;12;         570;100;     490.1;          43.6;         460;26;2022;ALL;non-disabled
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          72;38;           5;3;          67;36;          88;47;          28;15;         188;99;     492.8;;;31;2022;ALL;non-disabled
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          72;63;          10;9;          62;54;          41;36;           1;1;         114;100;     506.8;          64.5;          53;76;2022;ALL;non-disabled
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          66;58;           5;4;          61;54;          43;38;           5;4;         114;100;     501.7;          52.0;          53;60;2022;ALL;non-disabled
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;         201;42;          22;5;         179;38;         226;48;          46;10;         473;99;     495.5;          45.9;         450;36;2022;ALL;non-disabled
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;         182;38;           9;2;         173;36;         248;52;          44;9;         474;100;     494.3;          47.5;         451;38;2022;ALL;non-disabled
Attleboro - Cyril K. Brennan Middle School;00160315;SCI;          78;37;           7;3;          71;34;         100;47;          33;16;         211;100;     492.4;;;29;2022;ALL;non-disabled
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          55;41;           6;4;          49;36;          70;52;          10;7;         135;100;     496.4;          35.4;          62;39;2022;ALL;non-disabled
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          64;48;           2;1;          62;46;          60;45;          10;7;         134;100;     496.8;          51.6;          62;46;2022;ALL;non-disabled
Attleboro - Hyman Fine Elementary School;00160040;ELA;          70;48;          11;7;          59;40;          61;41;          16;11;         147;99;     498.6;          53.0;          77;46;2022;ALL;non-disabled
Attleboro - Hyman Fine Elementary School;00160040;MATH;          67;46;           8;5;          59;40;          66;45;          14;10;         147;99;     497.6;          60.3;          77;49;2022;ALL;non-disabled
