School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Attleboro - Hyman Fine Elementary School;00160040;MATH;          11;14;           0;0;          11;14;          46;61;          19;25;          76;100;     481.6;          50.5;          38;30;2022;ALL;low-income
Attleboro - Peter Thacher Elementary School;00160050;ELA;          24;29;           4;5;          20;24;          44;54;          14;17;          82;99;     492.3;          47.2;          39;74;2022;ALL;low-income
Attleboro - Peter Thacher Elementary School;00160050;MATH;          24;30;           1;1;          23;28;          35;43;          22;27;          81;98;     487.8;          59.7;          38;59;2022;ALL;low-income
Attleboro - Robert J. Coelho Middle School;00160305;ELA;          57;25;           4;2;          53;23;         137;59;          38;16;         232;99;     488.2;          45.6;         222;52;2022;ALL;low-income
Attleboro - Robert J. Coelho Middle School;00160305;MATH;          77;34;           8;3;          69;30;         122;53;          30;13;         229;99;     491.8;          50.6;         219;77;2022;ALL;low-income
Attleboro - Robert J. Coelho Middle School;00160305;SCI;          41;37;           6;5;          35;32;          56;50;          14;13;         111;96;     492.8;;;75;2022;ALL;low-income
Attleboro - Thomas Willett Elementary School;00160035;ELA;          15;22;           1;1;          14;21;          32;48;          20;30;          67;100;     483.5;          41.2;          34;28;2022;ALL;low-income
Attleboro - Thomas Willett Elementary School;00160035;MATH;          16;24;           1;1;          15;22;          29;43;          22;33;          67;100;     479.7;          34.7;          34;23;2022;ALL;low-income
Attleboro - Wamsutta Middle School;00160320;ELA;          52;23;           2;1;          50;23;         125;56;          45;20;         222;100;     485.4;          41.1;         213;37;2022;ALL;low-income
Attleboro - Wamsutta Middle School;00160320;MATH;          52;23;           6;3;          46;21;         132;59;          38;17;         222;100;     487.8;          51.1;         213;59;2022;ALL;low-income
Attleboro - Wamsutta Middle School;00160320;SCI;          30;25;           2;2;          28;23;          65;54;          26;21;         121;100;     486.3;;;48;2022;ALL;low-income
Auburn - Auburn Middle;00170305;ELA;          72;38;           5;3;          67;35;          83;43;          36;19;         191;100;     491.1;          46.3;         177;67;2022;ALL;low-income
Auburn - Auburn Middle;00170305;MATH;          55;29;           4;2;          51;27;         103;54;          33;17;         191;100;     489.7;          42.0;         178;67;2022;ALL;low-income
Auburn - Auburn Middle;00170305;SCI;          32;52;           4;6;          28;45;          26;42;           4;6;          62;100;     499.2;;;92;2022;ALL;low-income
Auburn - Swanson Road Intermediate School;00170030;ELA;          57;34;           1;1;          56;33;          89;53;          23;14;         169;99;     491.6;          44.5;         117;69;2022;ALL;low-income
Auburn - Swanson Road Intermediate School;00170030;MATH;          57;34;           5;3;          52;31;          88;52;          24;14;         169;99;     492.7;          52.4;         116;80;2022;ALL;low-income
Auburn - Swanson Road Intermediate School;00170030;SCI;          21;29;           2;3;          19;26;          36;50;          15;21;          72;100;     489.4;;;61;2022;ALL;low-income
Avon - Avon Middle High School;00180510;ELA;          11;20;           0;0;          11;20;          29;53;          15;27;          55;100;     482.8;          41.4;          52;25;2022;ALL;low-income
Avon - Avon Middle High School;00180510;MATH;          10;18;           1;2;           9;16;          30;55;          15;27;          55;100;     481.1;          34.9;          52;28;2022;ALL;low-income
