school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Ashburnham-Westminster - Overlook Middle School,06100305,SCI,          46,46,           3,3,          43,43,          42,42,          12,12,         100,99,     496.0,,,49,2022,ALL,male
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,          49,33,           0,0,          49,33,          77,52,          21,14,         147,100,     491.0,          40.9,          85,45,2022,ALL,male
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,          55,37,           2,1,          53,36,          68,46,          24,16,         147,100,     492.4,          43.7,          85,44,2022,ALL,male
Ashburnham-Westminster - Westminster Elementary,06100005,SCI,          18,38,           0,0,          18,38,          24,51,           5,11,          47,100,     491.8,,,37,2022,ALL,male
Ashland - Ashland Middle,00140405,ELA,         182,53,          32,9,         150,43,         112,32,          51,15,         345,99,     498.1,          60.0,         328,72,2022,ALL,male
Ashland - Ashland Middle,00140405,MATH,         206,60,          54,16,         152,44,         116,34,          23,7,         345,99,     505.6,          65.6,         329,82,2022,ALL,male
Ashland - Ashland Middle,00140405,SCI,          63,54,          11,9,          52,44,          40,34,          14,12,         117,99,     498.1,,,56,2022,ALL,male
Ashland - David Mindess,00140015,ELA,         165,51,           7,2,         158,49,         123,38,          33,10,         321,99,     498.6,          50.1,         197,73,2022,ALL,male
Ashland - David Mindess,00140015,MATH,         186,58,          30,9,         156,49,         102,32,          33,10,         321,99,     502.4,          53.7,         197,73,2022,ALL,male
Ashland - David Mindess,00140015,SCI,          69,68,           7,7,          62,61,          25,25,           8,8,         102,98,     505.0,,,77,2022,ALL,male
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          22,21,           1,1,          21,20,          54,51,          29,28,         105,99,     483.8,          38.2,          49,23,2022,ALL,male
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          34,33,           3,3,          31,30,          45,43,          25,24,         104,98,     486.5,          56.4,          49,26,2022,ALL,male
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          35,16,           0,0,          35,16,         121,54,          68,30,         224,97,     479.8,          40.2,         209,14,2022,ALL,male
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,          43,19,           1,0,          42,19,         135,60,          47,21,         225,97,     484.4,          46.4,         210,23,2022,ALL,male
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,          36,30,           5,4,          31,26,          67,55,          18,15,         121,94,     491.7,,,37,2022,ALL,male
Athol-Royalston - Royalston Community School,06150050,ELA,          17,41,           0,0,          17,41,          19,46,           5,12,          41,100,     493.2,          50.5,          24,54,2022,ALL,male
Athol-Royalston - Royalston Community School,06150050,MATH,          16,39,           2,5,          14,34,          20,49,           5,12,          41,100,     493.6,          36.1,          24,48,2022,ALL,male
Athol-Royalston - Royalston Community School,06150050,SCI,           5,45,           1,9,           4,36,           5,45,           1,9,          11,100,     499.6,,,60,2022,ALL,male
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          84,28,          14,5,          70,23,         150,49,          70,23,         304,100,     487.5,          45.7,         242,33,2022,ALL,male
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          81,27,           2,1,          79,26,         159,53,          62,21,         302,99,     486.6,          43.5,         240,27,2022,ALL,male
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,          37,35,           3,3,          34,32,          41,39,          27,26,         105,99,     487.5,,,29,2022,ALL,male
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          31,47,           2,3,          29,44,          32,48,           3,5,          66,100,     498.8,          65.3,          33,74,2022,ALL,male
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          35,54,           2,3,          33,51,          25,38,           5,8,          65,99,     498.9,          59.5,          33,63,2022,ALL,male
