school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,           4,20,           0,0,           4,20,          12,60,           4,20,          20,100,     484.6,,,2021,ALL,hispanic/latino
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          22,30,           1,1,          21,29,          38,52,          13,18,          73,100,     487.9,          34.1,          45,2021,ALL,hispanic/latino
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          10,14,           0,0,          10,14,          41,56,          22,30,          73,100,     480.4,          27.4,          45,2021,ALL,hispanic/latino
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,           5,20,           0,0,           5,20,          11,44,           9,36,          25,100,     480.4,,,2021,ALL,hispanic/latino
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,           7,32,           1,5,           6,27,          11,50,           4,18,          22,100,     490.0,,,2021,ALL,hispanic/latino
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,           3,14,           1,5,           2,9,          12,55,           7,32,          22,100,     479.6,,,2021,ALL,hispanic/latino
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,          30,26,           3,3,          27,23,          53,46,          33,28,         116,100,     485.7,          35.7,          94,2021,ALL,hispanic/latino
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,          15,13,           2,2,          13,11,          63,55,          37,32,         115,99,     479.8,          25.3,          93,2021,ALL,hispanic/latino
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,          11,21,           0,0,          11,21,          20,38,          22,42,          53,98,     477.8,,,2021,ALL,hispanic/latino
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          10,43,           1,4,           9,39,           9,39,           4,17,          23,100,     492.8,,,2021,ALL,hispanic/latino
Attleboro - Hill-Roberts Elementary School,00160045,MATH,           6,26,           1,4,           5,22,          11,48,           6,26,          23,100,     481.8,,,2021,ALL,hispanic/latino
Attleboro - Hyman Fine Elementary School,00160040,ELA,          16,47,           1,3,          15,44,          15,44,           3,9,          34,100,     494.6,,,2021,ALL,hispanic/latino
Attleboro - Hyman Fine Elementary School,00160040,MATH,           3,9,           0,0,           3,9,          16,47,          15,44,          34,100,     474.4,,,2021,ALL,hispanic/latino
Attleboro - Peter Thacher Elementary School,00160050,ELA,           4,18,           0,0,           4,18,          11,50,           7,32,          22,100,     485.2,,,2021,ALL,hispanic/latino
Attleboro - Peter Thacher Elementary School,00160050,MATH,           2,9,           0,0,           2,9,           7,32,          13,59,          22,100,     469.4,,,2021,ALL,hispanic/latino
Attleboro - Robert J. Coelho Middle School,00160305,ELA,          21,33,           0,0,          21,33,          30,48,          12,19,          63,100,     489.9,          33.4,          57,2021,ALL,hispanic/latino
Attleboro - Robert J. Coelho Middle School,00160305,MATH,          15,24,           0,0,          15,24,          39,62,           9,14,          63,100,     486.4,          26.1,          57,2021,ALL,hispanic/latino
Attleboro - Robert J. Coelho Middle School,00160305,SCI,           9,26,           1,3,           8,24,          22,65,           3,9,          34,100,     491.4,,,2021,ALL,hispanic/latino
Attleboro - Thomas Willett Elementary School,00160035,ELA,           5,26,           0,0,           5,26,          10,53,           4,21,          19,95,     485.7,,,2021,ALL,hispanic/latino
Attleboro - Thomas Willett Elementary School,00160035,MATH,           3,16,           0,0,           3,16,           6,32,          10,53,          19,95,     471.0,,,2021,ALL,hispanic/latino
Attleboro - Wamsutta Middle School,00160320,ELA,          25,29,           1,1,          24,28,          41,48,          20,23,          86,99,     487.6,          32.1,          79,2021,ALL,hispanic/latino
