school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Boston - Boston Latin School,00350560,ELA,          51,81,           9,14,          42,67,          12,19,           0,0,          63,     514.2,          38.9,          54,99,2019,ALL,afr.american/black
Boston - Boston Latin School,00350560,MATH,          50,79,           6,10,          44,70,          13,21,           0,0,          63,     510.7,          25.8,          54,98,2019,ALL,afr.american/black
Boston - Boston Latin School,00350560,SCI,          21,72,           1,3,          20,69,           8,28,           0,0,          29,     505.5,,,97,2019,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,ELA,           9,17,           1,2,           8,15,          31,60,          12,23,          52,     487.7,          48.4,          39,23,2019,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,MATH,          15,29,           0,0,          15,29,          25,48,          12,23,          52,     490.1,          59.0,          39,53,2019,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,SCI,           1,5,           0,0,           1,5,          10,48,          10,48,          21,     475.0,,,13,2019,ALL,afr.american/black
Boston - Channing Elementary School,00350360,ELA,          13,42,           0,0,          13,42,          16,52,           2,6,          31,     495.2,          56.0,          21,59,2019,ALL,afr.american/black
Boston - Channing Elementary School,00350360,MATH,           3,10,           0,0,           3,10,          21,68,           7,23,          31,     483.2,          50.0,          21,22,2019,ALL,afr.american/black
Boston - Channing Elementary School,00350360,SCI,           0,0,           0,0,           0,0,           8,80,           2,20,          10,     479.5,,,24,2019,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,ELA,          17,28,           1,2,          16,26,          36,59,           8,13,          61,     490.1,          38.1,          38,35,2019,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,MATH,          11,17,           1,2,          10,16,          37,59,          15,24,          63,     484.6,          43.1,          38,29,2019,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,SCI,           5,28,           0,0,           5,28,           9,50,           4,22,          18,     482.0,,,32,2019,ALL,afr.american/black
Boston - Clap Elementary School,00350298,ELA,           4,19,           1,5,           3,14,          10,48,           7,33,          21,     482.1,,          14,10,2019,ALL,afr.american/black
Boston - Clap Elementary School,00350298,MATH,           2,10,           0,0,           2,10,          13,62,           6,29,          21,     478.9,,          14,10,2019,ALL,afr.american/black
Boston - Condon K-8 School,00350146,ELA,          46,27,           3,2,          43,25,          73,42,          54,31,         173,     483.9,          51.1,         137,13,2019,ALL,afr.american/black
Boston - Condon K-8 School,00350146,MATH,          40,23,           2,1,          38,22,          76,44,          57,33,         173,     483.0,          50.9,         138,21,2019,ALL,afr.american/black
Boston - Condon K-8 School,00350146,SCI,           9,14,           0,0,           9,14,          38,60,          16,25,          63,     478.8,,,22,2019,ALL,afr.american/black
