school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
North Middlesex - North Middlesex Regional,7350505,BIO,         122,53,          27,12,          95,41,          90,39,          17,7,         229,,501.7,,,,2022,HS SCI,ALL
North Reading - North Reading High,2170505,BIO,         129,77,          49,29,          80,48,          36,21,           3,2,         168,,517.8,,,,2022,HS SCI,ALL
Northampton - Northampton High,2100505,BIO,         111,71,          44,28,          67,43,          34,22,          12,8,         157,,513.5,,,,2022,HS SCI,ALL
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,4060705,BIO,          18,31,           1,2,          17,29,          34,58,           7,12,          59,,491.9,,,,2022,HS SCI,ALL
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,4060705,PHY,          28,37,           1,1,          27,36,          40,53,           8,11,          76,,492.9,,,,2022,HS SCI,ALL
Northboro-Southboro - Algonquin Regional High,7300505,BIO,         257,86,         112,38,         145,49,          32,11,           9,3,         298,,523.0,,,,2022,HS SCI,ALL
Northbridge - Northbridge High,2140505,BIO,          35,35,           4,4,          31,31,          52,51,          14,14,         101,,493.1,,,,2022,HS SCI,ALL
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,8530605,BIO,          42,26,           5,3,          37,23,          97,60,          23,14,         162,,489.5,,,,2022,HS SCI,ALL
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,8530605,PHY,          61,33,           2,1,          59,32,         103,56,          21,11,         185,,492.2,,,,2022,HS SCI,ALL
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,8510605,BIO,          57,47,           6,5,          51,42,          57,47,           7,6,         121,,498.4,,,,2022,HS SCI,ALL
Norton - Norton High,2180505,BIO,          53,57,          20,22,          33,35,          31,33,           9,10,          93,,504.6,,,,2022,HS SCI,ALL
Norton - Norton High,2180505,PHY,          27,42,           1,2,          26,40,          31,48,           7,11,          65,,495.9,,,,2022,HS SCI,ALL
