school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Boston - Boston Latin Academy,00350545,MATH,          46,37,           3,2,          43,34,          73,58,           6,5,         125,99,     493.3,          38.2,         108,88,2022,ALL,afr.american/black
Boston - Boston Latin Academy,00350545,SCI,          23,53,           0,0,          23,53,          20,47,           0,0,          43,100,     500.9,,,97,2022,ALL,afr.american/black
Boston - Boston Latin School,00350560,ELA,          72,78,           9,10,          63,68,          20,22,           0,0,          92,100,     509.9,          47.5,          78,99,2022,ALL,afr.american/black
Boston - Boston Latin School,00350560,MATH,          53,58,           2,2,          51,55,          37,40,           2,2,          92,100,     501.6,          32.9,          77,97,2022,ALL,afr.american/black
Boston - Boston Latin School,00350560,SCI,          21,88,           2,8,          19,79,           3,13,           0,0,          24,100,     509.1,,,99,2022,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,ELA,           5,12,           0,0,           5,12,          23,53,          15,35,          43,96,     478.3,          42.8,          28,13,2022,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,MATH,           1,2,           0,0,           1,2,          23,53,          19,44,          43,98,     474.0,          33.8,          28,15,2022,ALL,afr.american/black
Boston - Boston Teachers Union K-8 Pilot,00350012,SCI,           0,0,           0,0,           0,0,          10,63,           6,38,          16,94,     473.6,,,17,2022,ALL,afr.american/black
Boston - Bradley Elementary School,00350215,ELA,           7,64,           0,0,           7,64,           3,27,           1,9,          11,100,     496.7,,           8,88,2022,ALL,afr.american/black
Boston - Bradley Elementary School,00350215,MATH,           1,9,           0,0,           1,9,           9,82,           1,9,          11,100,     490.1,,           8,79,2022,ALL,afr.american/black
Boston - Channing Elementary School,00350360,ELA,           8,25,           0,0,           8,25,          15,47,           9,28,          32,100,     485.2,          50.0,          26,42,2022,ALL,afr.american/black
Boston - Channing Elementary School,00350360,MATH,           5,16,           0,0,           5,16,          17,53,          10,31,          32,100,     479.0,          57.0,          26,32,2022,ALL,afr.american/black
Boston - Charlestown High School,00350515,ELA,           1,4,           0,0,           1,4,          11,46,          12,50,          24,96,     470.3,          31.5,          21,2,2022,ALL,afr.american/black
Boston - Charlestown High School,00350515,MATH,           1,4,           0,0,           1,4,           6,26,          16,70,          23,93,     467.5,,          19,3,2022,ALL,afr.american/black
Boston - Charlestown High School,00350515,SCI,           0,0,           0,0,           0,0,           3,23,          10,77,          13,93,     464.3,,,3,2022,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,ELA,          10,21,           2,4,           8,17,          23,48,          15,31,          48,98,     484.6,          42.7,          30,38,2022,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,MATH,           8,17,           2,4,           6,13,          27,56,          13,27,          48,100,     481.6,          49.1,          30,43,2022,ALL,afr.american/black
Boston - Chittick Elementary School,00350154,SCI,           4,24,           0,0,           4,24,           7,41,           6,35,          17,100,     479.2,,,36,2022,ALL,afr.american/black
