school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Avon - Ralph D Butler,180010,MATH,54,45,5,4,49,41,44,37,21,18,119,     494.8,          56.5,85,31,2019,ALL,male
Avon - Ralph D Butler,180010,SCI,19,59,5,16,14,44,10,31,3,9,32,     504.7,,,65,2019,ALL,male
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,ELA,90,43,13,6,77,37,92,44,27,13,209,     495.9,          51.6,204,37,2019,ALL,male
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,MATH,101,48,21,10,80,38,90,43,18,9,209,     499.5,          54.8,202,49,2019,ALL,male
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,SCI,46,72,13,20,33,52,12,19,6,9,64,     509.7,,,82,2019,ALL,male
Ayer Shirley School District - Lura A. White Elementary School,6160001,ELA,38,43,0,0,38,43,45,51,6,7,89,     497.1,          38.2,61,42,2019,ALL,male
Ayer Shirley School District - Lura A. White Elementary School,6160001,MATH,49,55,7,8,42,47,33,37,7,8,89,     501.5,          49.3,60,56,2019,ALL,male
Ayer Shirley School District - Lura A. White Elementary School,6160001,SCI,15,58,1,4,14,54,9,35,2,8,26,     503.5,,,61,2019,ALL,male
Ayer Shirley School District - Page Hilltop Elementary School,6160002,ELA,58,46,4,3,54,43,64,51,4,3,126,     499.5,          51.3,93,51,2019,ALL,male
Ayer Shirley School District - Page Hilltop Elementary School,6160002,MATH,56,45,5,4,51,41,61,49,8,6,125,     498.9,          59.6,92,47,2019,ALL,male
Ayer Shirley School District - Page Hilltop Elementary School,6160002,SCI,23,50,3,7,20,43,15,33,8,17,46,     496.6,,,37,2019,ALL,male
