school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Boston - Clap Elementary School,00350298,ELA,           6,38,           1,6,           5,31,           5,31,           5,31,          16,64,     485.8,,           4,2021,ALL,afr.american/black
Boston - Clap Elementary School,00350298,MATH,           2,13,           1,6,           1,6,           4,25,          10,63,          16,64,     471.6,,           4,2021,ALL,afr.american/black
Boston - Condon K-8 School,00350146,ELA,          19,14,           0,0,          19,14,          63,46,          54,40,         136,91,     476.4,          31.2,          76,2021,ALL,afr.american/black
Boston - Condon K-8 School,00350146,MATH,           6,4,           0,0,           6,4,          53,39,          76,56,         135,90,     468.7,          24.1,          75,2021,ALL,afr.american/black
Boston - Condon K-8 School,00350146,SCI,           3,8,           0,0,           3,8,          14,37,          21,55,          38,82,     472.1,,,2021,ALL,afr.american/black
Boston - Conley Elementary School,00350122,ELA,           6,14,           0,0,           6,14,          21,49,          16,37,          43,94,     477.3,          20.5,          22,2021,ALL,afr.american/black
Boston - Conley Elementary School,00350122,MATH,           0,0,           0,0,           0,0,          15,35,          28,65,          43,94,     466.8,,          18,2021,ALL,afr.american/black
Boston - Conley Elementary School,00350122,SCI,           3,16,           0,0,           3,16,           6,32,          10,53,          19,95,     471.4,,,2021,ALL,afr.american/black
Boston - Curley K-8 School,00350020,ELA,          13,14,           1,1,          12,13,          31,33,          51,54,          95,88,     474.6,          25.2,          55,2021,ALL,afr.american/black
Boston - Curley K-8 School,00350020,MATH,           8,8,           0,0,           8,8,          29,30,          60,62,          97,90,     467.0,          22.6,          57,2021,ALL,afr.american/black
Boston - Curley K-8 School,00350020,SCI,           2,8,           0,0,           2,8,          11,46,          11,46,          24,80,     473.6,,,2021,ALL,afr.american/black
Boston - Dearborn 6-12 STEM Academy,00350074,ELA,          17,15,           2,2,          15,13,          37,32,          62,53,         116,92,     472.7,          28.8,          95,2021,ALL,afr.american/black
Boston - Dearborn 6-12 STEM Academy,00350074,MATH,           6,5,           0,0,           6,5,          47,39,          68,56,         121,96,     467.8,          24.2,          98,2021,ALL,afr.american/black
Boston - Dearborn 6-12 STEM Academy,00350074,SCI,           2,7,           0,0,           2,7,           7,25,          19,68,          28,89,     465.0,,,2021,ALL,afr.american/black
Boston - Dever Elementary School,00350268,ELA,           9,20,           0,0,           9,20,          23,52,          12,27,          44,100,     480.2,,          12,2021,ALL,afr.american/black
Boston - Dever Elementary School,00350268,MATH,           4,9,           0,0,           4,9,          17,39,          23,52,          44,98,     468.4,,          12,2021,ALL,afr.american/black
Boston - Dever Elementary School,00350268,SCI,           0,0,           0,0,           0,0,          10,67,           5,33,          15,100,     472.6,,,2021,ALL,afr.american/black
Boston - Edison K-8 School,00350375,ELA,           6,10,           2,3,           4,7,          24,41,          28,48,          58,97,     473.2,          39.3,          35,2021,ALL,afr.american/black
Boston - Edison K-8 School,00350375,MATH,           1,2,           0,0,           1,2,          18,32,          38,67,          57,95,     463.5,          40.6,          33,2021,ALL,afr.american/black
Boston - Edison K-8 School,00350375,SCI,           0,0,           0,0,           0,0,           6,46,           7,54,          13,87,     465.5,,,2021,ALL,afr.american/black
Boston - Edwards Middle School,00350430,ELA,           3,9,           0,0,           3,9,          12,38,          17,53,          32,97,     469.0,          20.3,          29,2021,ALL,afr.american/black
Boston - Edwards Middle School,00350430,MATH,           1,3,           0,0,           1,3,          11,34,          20,63,          32,94,     465.3,          29.9,          30,2021,ALL,afr.american/black
Boston - Eliot K-8 Innovation School,00350096,ELA,           6,25,           1,4,           5,21,          11,46,           7,29,          24,77,     488.0,,          18,2021,ALL,afr.american/black
Boston - Eliot K-8 Innovation School,00350096,MATH,           6,25,           3,13,           3,13,          16,67,           2,8,          24,81,     491.5,,          18,2021,ALL,afr.american/black
Boston - Ellis Elementary School,00350072,ELA,          13,24,           1,2,          12,22,          30,56,          11,20,          54,90,     484.7,,          15,2021,ALL,afr.american/black
Boston - Ellis Elementary School,00350072,MATH,           2,4,           0,0,           2,4,          18,34,          33,62,          53,89,     467.6,,          14,2021,ALL,afr.american/black
Boston - Ellis Elementary School,00350072,SCI,           1,6,           0,0,           1,6,           7,44,           8,50,          16,100,     471.4,,,2021,ALL,afr.american/black
Boston - Ellison-Parks Early Education School,00350008,ELA,           6,30,           0,0,           6,30,          11,55,           3,15,          20,100,     486.1,,,2021,ALL,afr.american/black
Boston - Ellison-Parks Early Education School,00350008,MATH,           1,5,           0,0,           1,5,           7,35,          12,60,          20,100,     470.9,,,2021,ALL,afr.american/black
Boston - Everett Elementary School,00350088,ELA,          14,23,           0,0,          14,23,          31,52,          15,25,          60,100,     484.9,          29.9,          28,2021,ALL,afr.american/black
Boston - Everett Elementary School,00350088,MATH,           4,7,           0,0,           4,7,          25,42,          31,52,          60,100,     469.2,          19.4,          28,2021,ALL,afr.american/black
Boston - Everett Elementary School,00350088,SCI,           1,6,           0,0,           1,6,           7,44,           8,50,          16,100,     471.2,,,2021,ALL,afr.american/black
Boston - Frederick Pilot Middle School,00350383,ELA,           4,3,           0,0,           4,3,          46,39,          67,57,         117,81,     468.7,          23.2,          90,2021,ALL,afr.american/black
Boston - Frederick Pilot Middle School,00350383,MATH,           3,3,           0,0,           3,3,          43,38,          68,60,         114,77,     467.9,          19.5,          89,2021,ALL,afr.american/black
Boston - Frederick Pilot Middle School,00350383,SCI,           1,3,           0,0,           1,3,          18,46,          20,51,          39,89,     474.1,,,2021,ALL,afr.american/black
Boston - Gardner Pilot Academy,00350326,ELA,           7,30,           0,0,           7,30,          12,52,           4,17,          23,96,     488.6,,          14,2021,ALL,afr.american/black
