school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Andover - West Elementary,90025,ELA,         154,56,          26,10,         128,47,          99,36,          20,7,         273,100,504.5,58.9,         167,83.0,2022
Andover - West Elementary,90025,MATH,         146,54,          27,10,         119,44,         100,37,          26,10,         272,100,503.9,62.8,         167,81.0,2022
Andover - West Elementary,90025,SCI,          50,54,          11,12,          39,42,          36,39,           7,8,          93,99,504.4,,,78.0,2022
Andover - Wood Hill Middle School,90350,ELA,         241,67,          55,15,         186,52,         101,28,          18,5,         360,100,507.5,49.4,         346,90.0,2022
Andover - Wood Hill Middle School,90350,MATH,         243,68,          77,22,         166,46,          99,28,          16,4,         358,99,510.2,49.5,         345,92.0,2022
Andover - Wood Hill Middle School,90350,SCI,          87,71,          18,15,          69,56,          31,25,           5,4,         123,100,511.1,,,91.0,2022
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          45,16,           0,0,          45,16,         148,53,          86,31,         279,100,479.7,39.7,         267,9.0,2022
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          35,13,           0,0,          35,13,         165,59,          78,28,         278,100,479.3,37.4,         267,13.0,2022
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          22,23,           0,0,          22,23,          51,53,          24,25,          97,100,484.6,,,23.0,2022
Arlington - Brackett,100010,ELA,         162,68,          11,5,         151,63,          64,27,          12,5,         238,99,504.8,53.5,         133,84.0,2022
Arlington - Brackett,100010,MATH,         136,57,          15,6,         121,51,          88,37,          15,6,         239,99,502.8,52.0,         133,78.0,2022
Arlington - Brackett,100010,SCI,          64,77,          13,16,          51,61,          15,18,           4,5,          83,99,514.6,,,96.0,2022
Arlington - Cyrus E Dallin,100025,ELA,         151,65,          18,8,         133,57,          79,34,           4,2,         234,98,506.7,56.4,         143,88.0,2022
Arlington - Cyrus E Dallin,100025,MATH,         147,62,          24,10,         123,52,          75,32,          14,6,         236,99,505.2,55.8,         143,84.0,2022
Arlington - Cyrus E Dallin,100025,SCI,          56,72,           9,12,          47,60,          20,26,           2,3,          78,96,509.2,,,87.0,2022
Arlington - Gibbs School,100305,ELA,         302,69,          69,16,         233,53,         106,24,          31,7,         439,99,507.9,59.3,         407,90.0,2022
