school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Belmont - Mary Lee Burbank,00260010,ELA,           4,36,           1,9,           3,27,           7,64,           0,0,          11,100,     495.6,,           4,97,2022,ALL,EL
Belmont - Mary Lee Burbank,00260010,MATH,           8,73,           1,9,           7,64,           2,18,           1,9,          11,100,     509.1,,           4,99,2022,ALL,EL
Belmont - Roger E Wellington,00260035,ELA,           0,0,           0,0,           0,0,          13,81,           3,19,          16,100,     478.0,,           8,72,2022,ALL,EL
Belmont - Roger E Wellington,00260035,MATH,           3,19,           1,6,           2,13,           8,50,           5,31,          16,100,     480.4,,           8,72,2022,ALL,EL
Belmont - Winn Brook,00260005,ELA,           6,50,           1,8,           5,42,           6,50,           0,0,          12,100,     502.2,,           4,99,2022,ALL,EL
Belmont - Winn Brook,00260005,MATH,           5,42,           1,8,           4,33,           7,58,           0,0,          12,100,     502.8,,           4,98,2022,ALL,EL
Belmont - Winthrop L Chenery Middle,00260305,ELA,           3,13,           0,0,           3,13,          11,48,           9,39,          23,97,     478.5,,          18,74,2022,ALL,EL
Belmont - Winthrop L Chenery Middle,00260305,MATH,           6,25,           0,0,           6,25,          11,46,           7,29,          24,100,     483.9,          45.3,          20,80,2022,ALL,EL
Belmont - Winthrop L Chenery Middle,00260305,SCI,           1,7,           0,0,           1,7,           6,40,           8,53,          15,100,     471.8,,,81,2022,ALL,EL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,           1,7,           0,0,           1,7,           7,47,           7,47,          15,100,     473.3,,           6,53,2022,ALL,EL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,           4,27,           0,0,           4,27,          11,73,           0,0,          15,100,     490.3,,           6,90,2022,ALL,EL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,ELA,           0,0,           0,0,           0,0,           3,25,           9,75,          12,94,     459.8,,          12,10,2022,ALL,EL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,MATH,           0,0,           0,0,           0,0,           5,42,           7,58,          12,94,     463.8,,          12,11,2022,ALL,EL
Beverly - Beverly Middle School,00300305,ELA,           1,5,           0,0,           1,5,           6,27,          15,68,          22,95,     462.7,          27.2,          20,17,2022,ALL,EL
Beverly - Beverly Middle School,00300305,MATH,           0,0,           0,0,           0,0,          10,43,          13,57,          23,100,     467.8,          32.5,          21,27,2022,ALL,EL
Beverly - Beverly Middle School,00300305,SCI,           0,0,           0,0,           0,0,           6,46,           7,54,          13,100,     466.5,,,54,2022,ALL,EL
Billerica - Hajjar Elementary,00310026,ELA,           2,10,           0,0,           2,10,          10,50,           8,40,          20,100,     476.3,,           7,67,2022,ALL,EL
Billerica - Hajjar Elementary,00310026,MATH,           4,21,           0,0,           4,21,           8,42,           7,37,          19,100,     481.8,,           6,76,2022,ALL,EL
Billerica - Marshall Middle School,00310305,ELA,           0,0,           0,0,           0,0,           4,40,           6,60,          10,80,     467.6,,           7,,2022,ALL,EL
